ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Age_bucket,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,BILL_AMT_AVG, EXHAUS_RATE , PAY_AMT1 ,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,PAY_AMT_AVG,Churn,State,Occupation,Credit Rating,Tenure,Tenure_Range,BILL_AMT_CAT,Churn_Jan,Churn_Feb,Churn_Mar,Churn_Apr,Churn_May,Churn_Jun
1,600,2,2,1,24,21-30,2,2,0,0,0,0,117,93.06,20.67,,,,77,0.13,,20.67,,,,,20.67,1,Virginia,Salaried,Deep Prime,6, Less than 10 ," Less than 1,000 ",0,0,0,0,0,0
2,"3,600",2,2,2,26,21-30,0,2,0,0,0,2,80,51.75,80.46,98.16,103.65,97.83,85,0.02,,30,30,30,,60,37.5,1,Texas,Salaried,Near Prime,12, 10 to 15 ," Less than 1,000 ",0,0,0,0,0,0
3,"2,700",2,2,2,34,31-40,0,0,0,0,0,0,877,420.81,406.77,429.93,448.44,466.47,508,0.19,45.54,45,30,30,30,150,55.09,0,Pennsylvania,Salaried,Near Prime,11, 10 to 15 ," Less than 1,000 ",0,0,0,0,0,0
4,"1,500",2,2,1,37,31-40,0,0,0,0,0,0,"1,410",1446.99,1478.73,849.42,868.77,886.41,"1,157",0.77,60,60.57,36,33,32.07,30,41.94,0,Ohio,Salaried,Sub Prime,10, 10 to 15 ," 1,000 to 5,000 ",0,0,0,0,0,0
5,"1,500",1,2,1,57,Above 50,0,0,0,0,0,0,259,170.1,1075.05,628.2,574.38,573.93,547,0.36,60,1100.43,300,270,20.67,20.37,295.25,0,Massachusetts,Salaried,Sub Prime,9, Less than 10 ," Less than 1,000 ",0,0,0,0,0,0
6,"1,500",1,1,2,37,31-40,0,0,0,0,0,0,"1,932",1712.07,1728.24,581.82,588.57,600.72,"1,191",0.79,75,54.45,19.71,30,30,24,38.86,0,Massachusetts,Salaried,Sub Prime,11, 10 to 15 ," 1,000 to 5,000 ",0,0,0,0,0,0
7,"15,000",1,1,2,29,21-30,0,0,0,0,0,0,"11,039",12360.69,13350.21,16279.59,14490.09,14218.32,"13,623",0.91,"1,650.00",1200,1140,607.17,412.5,413.1,903.8,0,New York,Salaried,Super Prime,44, Above25 ," 10,000 to 20,000 ",0,0,0,0,0,0
8,"3,000",2,2,2,23,21-30,0,0,0,0,0,0,356,11.4,18.03,6.63,-4.77,17.01,67,0.02,11.4,18.03,,17.43,50.61,46.26,28.75,0,Massachusetts,Business,Near Prime,18, 15 to 20 ," Less than 1,000 ",0,0,0,0,0,0
9,"4,200",2,3,1,28,21-30,0,0,2,0,0,0,339,422.88,363.24,366.33,353.79,111.57,326,0.08,99.87,,12.96,30,30,30,40.57,0,Virginia,Salaried,Near Prime,23, 20 to 25 ," Less than 1,000 ",0,0,0,0,0,0
10,600,1,3,2,35,31-40,0,0,0,0,0,0,,,,,390.21,417.36,404,0.67,,,,390.21,33.66,,211.94,0,Massachusetts,Salaried,Deep Prime,7, Less than 10 ," Less than 1,000 ",0,0,0,0,0,0
